Name,X,Y,Angle,Value,Package
BOOT_BUTTON,24.00,108.73,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,158.00,7.50,90.00,100nF,EAGLE-LTSPICE_C0402
C10,67.37,108.36,90.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,97.84,50.34,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,122.15,53.45,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,123.55,36.93,180.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,135.93,39.79,90.00,4.7uF,EAGLE-LTSPICE_C0402
C2,159.20,7.50,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,133.95,55.26,90.00,4.7uF,EAGLE-LTSPICE_C0402
C3,132.40,38.91,90.00,"100uF TANT",RCL_CT3528
C4,96.44,32.85,270.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,156.50,48.07,0.00,100nF,EAGLE-LTSPICE_C0402
C5,45.69,108.32,90.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,156.48,46.65,0.00,4.7uF,EAGLE-LTSPICE_C0402
C6,27.27,108.32,90.00,100nF,EAGLE-LTSPICE_C0402
C7,82.17,26.86,0.00,10uF,EAGLE-LTSPICE_C0402
C8,88.90,46.43,0.00,100nF,EAGLE-LTSPICE_C0402
C9,6.17,102.18,90.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,64.00,108.73,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,125.65,53.44,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,52.10,102.50,90.00,100nF,EAGLE-LTSPICE_C0402
D1,155.70,50.77,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,50.90,36.60,90.00,PGB1010603MR,DIOC1608X36N
D11,48.80,36.60,90.00,PGB1010603MR,DIOC1608X36N
D12,45.80,36.60,90.00,PGB1010603MR,DIOC1608X36N
D2,122.92,39.74,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,92.82,32.42,180.00,MBR0530,SOD3716X135N
D4,82.88,36.17,180.00,MBR0530,SOD3716X135N
D5,92.81,28.88,0.00,MBR0530,SOD3716X135N
D6,76.60,25.37,0.00,PGB1010603MR,DIOC1608X36N
D7,89.49,62.68,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,12.38,99.57,0.00,PGB1010603MR,DIOC1608X36N
D9,34.90,48.00,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,72.65,17.49,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,82.40,24.47,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,80.85,24.47,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,79.29,24.47,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,73.85,17.50,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,90.20,24.47,90.00,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,88.64,24.47,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,87.08,24.47,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,85.52,24.47,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,83.96,24.47,90.00,1uF/50V,EAGLE-LTSPICE_C0402
IC1,48.97,102.17,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,127.51,39.77,0.00,XC6220A331MR-G,SOT95P280X120-5N
J1,86.30,13.54,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,166.75,54.30,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,167.16,19.30,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,8.28,88.88,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,82.85,31.38,270.00,68uH,IND_4828-WE-TPC_WRE
MCP73831,129.70,52.54,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMF.050.1,154.96,44.00,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,136.69,49.11,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,79.11,27.82,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,70.22,16.64,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,19.19,41.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,9.19,102.16,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,125.68,52.03,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,155.60,7.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,95.31,59.91,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,121.16,39.82,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,68.74,13.01,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,156.80,7.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,95.31,50.17,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,150.87,51.00,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,158.83,53.57,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,128.36,48.26,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,71.09,12.04,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,73.60,15.21,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,33.50,48.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,50.90,33.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,48.80,33.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,45.80,33.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,74.99,27.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,108.73,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.73,108.38,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,89.52,61.04,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.66,108.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,76.57,27.93,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,52.31,108.33,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.51,12.30,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.34,11.11,180.00,,SJ
TP1,10.71,68.19,0.00,TPTP20R,TP20R
TP10,100.47,14.34,0.00,TPTP20R,TP20R
TP11,100.47,11.17,0.00,TPTP20R,TP20R
TP12,100.47,7.99,0.00,TPTP20R,TP20R
TP13,65.98,29.09,0.00,TPTP20R,TP20R
TP14,118.72,47.09,0.00,TPTP20R,TP20R
TP15,16.56,36.69,0.00,TPTP20R,TP20R
TP16,19.20,36.69,0.00,TPTP20R,TP20R
TP17,65.98,26.09,0.00,TPTP20R,TP20R
TP2,13.55,68.19,0.00,TPTP20R,TP20R
TP3,125.35,61.59,0.00,TPTP20R,TP20R
TP4,128.43,61.59,0.00,TPTP20R,TP20R
TP5,100.47,20.64,0.00,TPTP20R,TP20R
TP6,45.81,26.29,0.00,TPTP20R,TP20R
TP7,48.85,26.29,0.00,TPTP20R,TP20R
TP8,50.97,26.29,0.00,TPTP20R,TP20R
TP9,100.47,17.52,0.00,TPTP20R,TP20R
U1,38.59,54.66,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,54.30,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,86.30,54.30,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,139.67,55.32,0.00,MAX17048G+T10,SON50P200X200X80-9N
